text,sentiment
 it an excellent product if you re looking for wireless mouse good price and with high load durability that correct use it for work in arcgis excellent service,positive
it was cute and worked super well while it lasted but about weeks into using it it just stops doesn hold charge doesn stay on of course it lasts beyond when you can return it so just don take the chance ,positive
i purchased this mouse back in june of this year it is now october the battery life is soo powerful the color changing is the best experience could have ha with mouse can believe how happy am with this purchase ,positive
the center scroll wheel broke in weeks for no reason mouse was not dropped and barely used garbage so you get what you pay for ,negative
its nice mouse but not sure if its good for gaming ,positive
i hated this item they described how easy it was to use and received mine and it does not connect after doing my research on it its suppose to be compatible with my laptop and its not so now have to order different one im very disappointed in this product ,negative
feels very cheap wouldn charge on my laptop had to plug it in on my desktop to charge it finally got it charged just for it to die after hours of non continuous use it getting returned ,negative
my first one had about weeks and the wheel broke loose and it would not work received replacement in two days and it perfect can blame them for manufacturing issue love my pink mouse highly recommend it use it hours day days week ,positive
scroll interior post broke causing the mouse to no longer work bought in jan broke oct otherwise nice functioning overall,negative
i purchased this mouse as the wheel on my old one quit working loved the design and wanted another so ordered it and received it aug it is oct and the wheel just quick working again would recommend looking at different mouse if you prefer your scrolling feature ,positive
this item is poorly made battery died within minutes after full charge hours it was returned the same day it was delivered ,negative
received product on the th charged it and started using it the charge didn last that long maybe day at most but today it doesn work at all glad kept my old battery one ,positive
ergonomic and fits my hand well pretty when charged mine doesn hold charge well it only lasts couple hours at most ,positive
certainly helps to look at instructional pictures and to try to translate what the instructions mean,positive
this is slim quiet and absolutely love the changing of colors best mouse ve had ,positive
i bought this mouse to match the keyboard bought for my daughter to use with her laptop she does online school and likes having mouse as well as keyboard she likes that they match and both light up didn know how it would be for gaming ,positive
very easy to use and sleek design it is small enough to fit easily into my computer bag when have to take it with me ,positive
this is nice little mouse very quiet clicking and get lots of compliments on the changing color lights ,positive
sleek ergonomic feel quiet clicker easy to charge usb easy to install would definitely recommend for the price ,positive
i just purchased this mouse to use with my new laptop and am impressed with the quietness of the buttons and it has helped me win on my games,positive
love the clickity clicks of the mouse got it for my daughter for online school work and she loves the damn thing ,positive
item worked fine for months and then no longer would turn on and yes it was fully charged of course it was past the return date so its basically junk save your money and buy name brand,positive
the mouse is very slim but is so cheaply made don dare drop it or it going to break won by another one,positive
 bought this mouse for my office to go with the theme and love it was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked great purchase ,positive
i like how slim it is and the colors are nice touch without being distracting clicking is responsive though the movement was little glitchy for me sometimes my biggest complaint is that the usb sticks out super far if you have to use the usb adapter ,positive
i was super exited for this to come and it worked for about five minuted the only thing that worked was the usb to type adapter ,positive
love the color love how it changes colors and love how it holds charge ,positive
put one star because this store sent me bad mouse twice the first was working then not working the next did not work at all just wasted time and money ,negative
i love the sleep mode so easy to use ,positive
i loved this little mouse it looked great it felt great in my hand the wheel was nice for scrolling the battery even held charge for what thought was reasonable amount of time would categorize my usage as light moderate use and no abuse then came the day about month after arrival right after the return window closed that it started glitching now it drops off not responding then will work again then drop off again and not talking about sleep mode this is during active use back and forth back and forth it frustrating probably more because so desperately want mouse instead of my laptop trackpad all that said didn spend whole lot of money on this mouse so get what pay for just wish had gotten little more than month before the glitching ,positive
the scroll button broke after just month would not recommend,negative
i was happy with this purchase until the mouse wheel quit working purchased this device on july and week ago september it quit working after looking through the questions see others have experienced this too wouldn purchase this item it known issue ,positive
i got this for my mother because she wanted something pink and cheap it really feels like its made of trash it does seem to work well enough though the tracking is inconsistent at best the ergonomics are really non existent doesn seem like it made for human hands overall if you re buying for somebody who wants something cheap and pink and cant tell the difference go for it but if you actually care about having half decent mouse skip this one ,positive
like it size perfect fit for laptop bag,positive
i love this mouse it quiet and pretty and the battery lasts while probably charge it once maybe twice week,positive
it ergonomic and stylish very cute colors and cool lights comes with all the attachments like cords for charging and it has small indent under the mouse to keep the part that plugs into your laptop forever losing mine so that great feature very quiet as well recommend it for nice cheap little mouse ,positive
very nice mouse love the size and feel,positive
love the colors so far ok,positive
i love the different colors easy to find at night holds charge for few days ,positive
i like how light and easy to handle is ,positive
love it,positive
i only had this item for month if that and it has already stopped working it will not hold charge and it is not the cable shouldn have ignored the other comments about it not working don make my same mistake ,negative
its slick well made mouse and will be buying another one thanks to manufacturer for nice creativity in build ,positive
i really liked this mouse when first got it it was low profile had nice soft and quiet click had rainbow lights and was available in rose gold color thought made great purchase now ve had it for less than months and the scroll wheel is so squeaky can stand to hear it when scrolling through documents bummed it was lemon ,positive
prompt delivery on an awesome product,positive
bought one at first broke within couple of months thinking maybe it was my daughter bought another and broke again within couple of months the middle wheel on the mouse is defective and it the same problem from the first one bought,negative
lightweight mouse easy to charge can use while charging and like the teal color got with fun colors lighting up makes my office work and time at the computer feel little less boring easy to connect and works well with imac ,positive
so sad been using for months only and the scroll wheel broke already bye bye scrolling feature kind of turn off to use it now that its broken,negative
perfect little mouse this mouse is so easy to use and to charge up it lightweight love the little colors and it fits my hand perfectly,positive
i don use this mouse often and the mouse has completely failed won turn on it does light up when it is charging but won turn on and stay on completely unusable pretty big bummer since past return do not recommend ,positive
perfect in my office love the lightweight and easy to use ,positive
the mouse worked great until one day it stopped scrolling ve had it just about month the rest of the mouse seems to be working but the scroll wheel is no longer responsive ,negative
do not buy this bought this in august st return period is only days and it stopped working in october rd tried different charging cords thought maybe it was the cord but no lock just completely dead ,negative
the mouse has good shape and charges quickly but the roll just broke after one week of use,negative
simple to use long battery life recharges by plugging into your computer this is the first mouse ve enjoyed using that wasn wired this works much better than the old battery opperated ones and has much longer battery life ,positive
just plugged it in and it worked perfectly wanted small low profile mouse to use when travel so far this one seems great the chromebook travel with only has usb ports and did think that that this mouse came with usb receiver but it doesn it comes with usb receiver and an adapter which works fine but together they are over an inch long which is little awkward it means have to be very careful not to bump it and beak it if the receiver were smaller this would be ideal overall great value ,positive
it was great to begin with for the price wasn expecting lot however the scroll wheel quit working within the first times of using it which is one of the reasons purchased it to begin with ,positive
it looks awesome and is really quiet only had it for short time but love it ,positive
terrible product first mouse broke within week second mouse broke within months ,negative
battery takes forever to die which is great sleep mode helps lot it thinner and smoother than any other mouse ve own love the lights ,positive
i read the other reviews and it seems great fully charge mine and it last few hours if the charge lasted this would be good mouse have to rate mine one ,positive
tried times using this in the week ve had it even checked to make sure it was fully charged turned it off on several times and no improvement movement of cursor is very slow delayed very disappointed with functionality went back to using my battery operated mouse ,negative
i bought this for my work laptop and really like it the coloring changing option is fun but don turn that on very often so the charge lasts longer have small hands and it fits my hand comfortably ,positive
love this mouse it has sleek design and works wonderful love the quietness and the perfect fit for my small hands ,positive
nice mouse and like that the mouse sleeps to save the battery ,positive
looks like the track wheel is connected to an internal device using very fragile thin piece of plastic was simply using the mouse didn drop it or slam it and suddenly the tactile feedback of using the track wheel stopped and the mouse would no longer scroll the screen too bad actually liked the mouse until then ,negative
i admit was going to return this item because did not understand the little usb attachment was on the bottom of the device had charged it but was using the little black usb insert in my laptop which did not work once inserted the white short usb from underneath the pointer my computer accepted it and it works great am still learning how to use these devices at age it is gorgeous and works ,positive
mouse works well and is good value for the inexpensive price ,positive
ordered this mouse in early september as of today it no longer holds charge bought this mouse to have something portable to go along with my laptop as generally dislike using the trackpad it size was ideal and it was overall comfortable and easy to use however this mouse does not hold charge at all had to charge it at least twice per week remember this is not mouse used on my primary computer either and yes do turn it off when it is stored in my bag not thrilled that now have to replace it after only year of use and will not be purchasing again ,positive
nice size color is true to expectation easy use and setup has usbc adapter included for newer hardware usb adapter fits in base of mouse works well on multiple surfaces quick charging ,positive
works great,positive
i ve had this mouse for almost months it worked so well and the color changing lights add little pizazz unfortunately the scroll wheel stopped working it no longer has tension on it it just spins now and moves nothing on the screen ,negative
i work from home and this mouse is very comfortable and responsive ,positive
works like it should and it super easy to set up ,positive
beautiful ,positive
i purchased this mouse thinking it had usb connector not usb with usb adaptor my bad opted to keep it three stars on its scrolling as it was not smooth but it worked would have kept it but after couple of weeks it died and would not charge despite being plugged in for hours don waste your money go with tried and true brand,negative
this works like normal mouse and everything however the light that in the mouse is so bright it shines through the white on my mouse it not good aesthetically however if you want mouse that does mouse things this one fine ,positive
great item,positive
great product,positive
this is the worst mouse ever ,negative
the scrolling wheel is not working properly after months so have to buy new mouse the usb charging feature is nice though and it is easy to carry ,positive
love this mouse take it anywhere it classy yet little sexy for my workspace it very adaptable to who needs it in my house for their devices ,positive
works perfectly with my chromebook,positive
for me personally just not good fit,negative
this mouse is very useful and beautiful colors thought it wouldn fit my mac but it came with mac adapter very convenient and cute too ,positive
literally won charge or turn on look somewhere else for mouse ,positive
i bought this mouse on august it worked well for while but today september the mousewheel spins freely while my screen does not scroll you get what you pay for and guess with this you re only paying for mouse for month and half ,positive
i wound up returning because non longer needed it but it did try it out and it worked amazingly love how quiet and sleek it was and the adapter was perfect for my macbook ,positive
love it,positive
bought exchanged immediately due to sent broken one recieved replacement works sometimes won always work the other original purchase scrolly ball won register any movent good for months if you get one that works properly from the start ,positive
this wireless mouse works great it light and connected right to my macbook air with no problem ,positive
the mouse is not effective charged for hours still no life or function do not buy when noticed that the mouse was not working charged it for hours tried the mouse again and it still did not work but showed red as one of the colors which may be warning the seller did not respond or reply to assist me with any troubleshooting unsatisfied customer ,negative
works good and plug and play ,positive
i love the color and how slim it is use it for work school ,positive
super light and cute,positive
great buy ,positive
purchased in june busted in september the center wheel broken inside rendering the device worthless ,negative
even didn lat month broken poor quality ,negative
i just love this wireless mouse it not big and bulky the clicking is quite and it really cute looking ,positive
have not had this too long and ve charged it and it won turn on anymore made sure switch is off even changed chargers it stopped working ,positive
stopped working after month will no longer click down unless heavy force very bad product,negative
it great mouse perfect and just what was looking for it really quiet which appreciate because louds clicks do get annoying after some time but not with this mouse the lights are cool too really slim so it easy to pack in my work bag and it feels great while using it ,positive
fits well to contour of hand withstands multiple drops to the floor battery lasts quite while after charging color changing is pretty ,positive
works on phone laptop tv all that pretty cool and lights up so wahoo,positive
i really liked using this mouse it died hair quicker than like but would just use it wired while it charged up however month after using it the middle scroll circle clicked down and wouldn come back up making it impossible for me to use as use that often in playing sims didn expect much as didn pay much but was slightly disappointed ,negative
i like the fact that it turns off after some time like that it works with usb and like that can use it with my mac or my pc and like the charging cable ,positive
i use this mouse with my laptop it worked pretty good when first got it then the wheel quit working have no idea why ,positive
i saw all the positive reviews and thought this would be winner at first it was great loved the colors it is easy to use but after few months the scroll wheel stopped working dug little deeper into the reviews and realized this is common theme now have to buy another mouse already and it won be another one of these ,positive
it worked less than month before it stopped charging and became useless purchased second one and will see how long it lasts ,negative
worked great for about months stays charged for long time and like being able to use the port in my laptop however now the scroll button moves erratic scrolling down the page and the page jumps up go up and it jumps down ,positive
i love this mouse easy to set up easy to use it seems to go forever on one charge and the ever changing light color is really cool ,positive
sleek and nice love the colors great buy ,positive
so cute and charge lasts forever,positive
what really liked was the usb to type adapter which allowed me to plug usb memory sticks into my smart phone ,positive
piece of junk already broken irritated,negative
love this little mouse for work the clicking is soft and quiet so it not annoying when clicking on my computer all day the color is pretty too and love the lights ,positive
i absolutely love this mouse great color matches my laptop perfectly love the color changing mode so fun ,positive
 feels great wide and comfortable lights up when you move around likes so much bought second one too ,positive
do not recommend bought it two months ago and the roller part already broke and it is now useless,negative
i got this mouse to use with my laptop and it great glides easily holds charge for quite while and enters sleep mode when not in use to wake the mouse up you just right or left click the changing lights are great and fun touch,positive
lights are multicolored and are nice goes to sleep on its own and is great smooth and works fine until it breaks had it months and days and suddenly while scrolling the wheel broke,positive
this is the worst mouse ever it hard to glide and it goes dead very fast wish could return it ,negative
worthless to spend min trouble shooting every time need to use it ,negative
i love this mouse love how quite it is when use it love the sleep feature on it as well have nothing bad to say about it use it for my online schooling ,positive
gets insensitive very quickly and it so hard to use light and small and not ergonomic at all dont recommend buying,negative
works great love the quiet clicks perfect for school without being the annoying one when everything is silent,positive
love it,positive
the scroller broke within week and the material looked greasy and worn after about week of very limited use ,negative
i bought this for when started working from home after about or months the middle part no longer would scroll the page which is the reason bought it in the first place very disappointing since that the reason bought it in the first place ,negative
i have to charge this mouse way more than expected especially since use it for work won buy this again otherwise seems to work fine besides sometimes jumping from where have the pointer on the screen to whole other area casual usage this may be fine for you,positive
this was the worst mouse ve bought it goes dead very fast and then you have to charge it all night for it to die fast again would not recommend this mouse ,negative
i used it for about month and then the sensor broke and the entire thing is useless now,negative
my wrist no longer hurts after being on my computer sexy running lights let me see where it is on my desk love the pink color now no one can take it when there batteries are dead and claim your mouse needs batteries gotta love family ingenuity ,positive
bought in february and it worked great until rd or th charge now it not connecting to my computer any longer ,positive
works great it little too small and would stress my hand if used it all day everyday but don so keeping it and am content to be more specific the buttons are not directly below my fingertips which would be solved by longer mouse or an ergonomic one that has little more height to it an averaged sized male and to my knowledge my hand is typical of that size of person haha hope this helps ,positive
it was cheap and the lights are fun but it was cheap and doesn work great squeaky wheel as you re scrolling sometimes it doesn track well so that annoying but it gets the job done if your patient select different one ,positive
product worked well until it didn after months won charge or power on ,positive
love this mousepad the clicking is silent and it looks pretty but the thing dies so fast work hour week from home and have to charge the mouse like every day,positive
i bought this for my work laptop and just love it easy to use and love that it is rechargeable fantastic design so it not hard on your hands and connects easily with no issues ,positive
when first received this charged it as recommended and it lit up so seemed to work as expected after charged put the toggle in my usb port and nothing happened it didn download anything it didn pair with my laptop let it sit then tried again nothing it won charge it won light up nothing never even used it and it stopped working very disappointed and total waste of money ,negative
ergonomic would also like to have full size for desktop use multi color led adds nice decorative touch mouse wakes up from sleep mode with first click ,positive
this mouse was back to school gift for my th grade son it charged fine the first time worked ok never charged again and stopped working school has only been in for one week and he already needs new mouse can give it more that one star if it doesn work ,positive
my mouse no matter how charged it is loves to just randomly jump to the side of my screen it been like this since first plugged it in besides that it pretty and like how the lights combined it also really helped me with my carpal tunnel issues ,positive
i ordered this product but the cursor kept jumping around the screen even when it was fully charged figured just got bad apple so made an exchange for new one the new mouse came scratched not big deal and the scroll wheel wasn as smooth annoying but its fine but this one cursor is jumping around the screen too would have otherwise liked the mouse it charges up quickly and appreciate the sleep mode so that that battery life lasts longer ,negative
i bought this mouse on the th of august and it broke on the st of the same month basically it lasted me for less than month the lights stopped working properly and then the middle part to scroll stopped working it broke do not recommend at all,negative
this mouse worked for while but then broke the led looked fake and crappy wouldn buy this if were but if are in budget it would do the job just be very careful with it ,negative
i bought this about months ago and use it only for work and the scroll wheel broke and the mouse is now glitching very disappointed in this purchase quality ,negative
love the size of it,positive
i have bought several of these since this first one they work amazing have had no issues and recommend this seller and mouse brand alot the price is so good ,positive
i like this item lot very fairly priced and the low profile makes it easy on my hand don have the largest hands but not very small either and mouse with high hump is very uncomfortable this solves that problem nicely could do without the sleep mode am still getting used to waking it up and understand the value of sleep mode so deal with it never having to deal with batteries is also bonus charging it overnight is ideal but have already forgotten couple of nights and it fine if necessary you can plug it in and use it while it charges ,positive
it used to be good until this morning that couldn use the roller since it broken it broke on its own because it bad quality,negative
it was nice and sleek it felt very cheaply made though and it died within weeks of having it wouldn turn on even charged it would not recommend buying it ,negative
mouse works great better than expected ,positive
i bought this mouse to replace one that had the mousewheel break to be honest loved this mouse at first the lights the feel everything however was not fan of the extra added adapter to make it usb compatible here am months after bought it and the mousewheel no longer functions on this mouse as well for some reason the companies that make these portable mouse mice cannot make one that has sturdy mouse wheel oddly enough the one thing didn like about the mouse originally became my favorite thing now that it is broken the adapter to allow me to run regular usb on usb port ,positive
within week of my son using it the scroll button broke somehow it outside the return window so now we are stuck with it ,negative
i ordered the track ball broken in the silver one within days the right click broke on the rose gold one within days only use them for light use no gaming and they are not sturdy at all they were both difficult to charge,negative
i ve used it only for times from jan to july now it won on don buy,positive
this product is very cheaply made purchased this mouse because my daughter liked the lighting on the side of the mouse however the wheel that controls how you scroll up and down on web page easily breaks off and you have to return it or buy another one buyer beware take it from father who has went through of them ,positive
i had to buy two different mice within months the scroll button stopped working on both devices other than that okay product led light function is cool sleek style and easily rechargeable ,positive
quiet fast works super well don game but use it for work and it perfect,positive
i use this mouse for work it didn require any weird setup like downloading software it super comfy and has sleep mode that activates after about minutes click of the button wakes it up and it ready to go don regularly use the light up mode but it is cool feature that is fun to show off have carpal tunnel and it so much better on my wrist than standard wired computer mouse most definitely worth the purchase ,positive
the mouse itself is great works well however the roller ball on the top of the mouse broke and no longer works it has only been weeks since purchase do like that the lights have an on off function so you don need to have it lit all the time which makes it more appropriate when in work environment ,positive
i use this in class and at home and there is not any noise when you are clicking the buttons which is nice when we are quietly working on things would highly recommend the color changing is also great ,positive
i guess almost year for under is good enough especially if you want one that recharges because you don like fooling around with aa batteries battery life was good could use it all day with no problems ,positive
it was most important to me to have quiet scrolling mouse for my laptop this mouse has quiet silent scrolling and silent clicking very impressed the mouse is more of flat design the lights around it are pretty neat there is an on off switch on the bottom of the mouse that includes an option for the lights as well nice mouse for great price ,positive
it was fine until it just stopped working months in do yourself favor and spend little more money to get well known brand like logitech ,positive
do not recommend just purchased in june and it already broken in august ,negative
i have logitech keyboard that use with no problem with my other mouse but when plug this mouse in the keyboard stops working the dongle is also hard to remove from the back of the mouse had to get something small to pry it out little space for your finger to grab it more easily would have been nice ,positive
love it good price and product ,positive
i feel like won this out of cheap gumball machine plastic doesn feel like it going to last long ,positive
i ordered my first mouse it broke in two weeks returned reordered this one broke just few days after the return window closed don waste your money ,negative
led wireless mouse rechargeable slim silent mouse is easy to use lightweight and easy to recharge the charge last long time ,positive
i was super excited to use this mouse for my macbook but it won even charge would return but do not have the packaging anymore do not buy ,positive
ease of installing and very super cool looking at my laptop ,positive
this mouse has the quietest click of any mouse ve ever owned and it puts itself to sleep if don move it for while it magical wasn sure about the color changing light but it not overpowering or distracting ve had very long line of previous wireless mice but think this is my favorite very pleased with this purchase ,positive
broke within two hours of using it you really gotta watch the amazon return policy on electronics have tendency to buy it and leave it sitting in the box for way too long bad me because this is the second or third time ve gotten burned on crap like this ,negative
love this mouse got it to replace my logitech mouse because it was glitching you can beat the price for this one it light weight and the colors are nice ,positive
 the ergonomic feel of the mouse is great and the battery life is amazing it is lightweight and feels cheap white matches my setup but it translucent and takes way from the aesthetic it is connected less than ft away and it still loses connectivity which causes it to lag it makes it completely useless to me don recommend you buy it at least not the white one and be aware of the lagging ,negative
great product very competitive price ,positive
i purchased for my kids to use while doing online class work it was easy to set up and seems to work well was hoping for something that felt more sturdy it feels very cheap the kids love the changing lights while they use the mouse my only complaint is that if they don remember to turn off the noise after use then it dies and has to be recharged before if can be used again,positive
loved this mouse but it breaks super easily liked it and figured give it another chance so bought second one and it broke after months it soft to the touch and very quiet which liked unfortunately both times the scroll button stopped working feels like it detaches you get what you pay for ,positive
i really like this this is replacement for broken battery operated one used to have love that this can charge from usb port and not having to rely on batteries or worry that they might run out at an inconvenient time it got cool lights around the side and it works well on lot of surfaces use my laptop in recliner chair and this works running on the edge of the chair just fine ve also used it on wooden table top and vinyl countertop surfaces with good results it does take just second when the laptop boots up to locate but that minimal the usb wireless component is small and fits really inconspicuously into an unused port on my laptop without being in the way at all all in all ve been very happy with the quality and efficiency this was great purchase ,positive
i like that you change button on the back so it stays red and that the blue light stops showing once its done charging the only thing is wish it would show you how much battery it has left ,positive
i bought one to try for myself at home and loved it so much ordered two more to use at work this is the best wireless mouse ve ever had great value too ,positive
i didn realize that it was rechargeable vs battery however it gets the job done and it comfortable to use ,positive
loved this mouse worked great after having it for months the scrolling piece in the middle broke was not rough with it did not drop it just stopped working out of nowhere ,positive
i loved this product when first received it it lit up and lightweight and just pretty but that was very short lived it stopped working after just weeks of using it good thing it was on the cheaper side maybe it was disposable mouse that only was supposed to work for short period ,positive
don buy it for one is very inconvenient rechargeable you never know when mouse is out of juice two mouse is dead after just months,negative
i ve had the product for less than two months and it no longer works really disappointed ,negative
super sleek and super quiet love this mouse ,positive
i bought this first time and after few months it died completely even after being charged it will not respond when turned back on thought it might just be one time defect and bought another this time it died completely after month nice while it worked but will not be buying rd time ,negative
love the led lights connects quickly the rechargeable feature is great until you forget to recharge,positive
i have small hands and my old mouse was too big for my hand this mouse is lower so don need to move my wrist and fingers higher to click it not cure but it great that it fits my hand much better and doesn put as much strain on my hand ,positive
should have had usb charging port on it instead of micro usb otherwise it great for my daughter year old hands ,positive
after months of somewhat daily usage just for checking emails occasionally or something fast the middle wheel stopped working making it pain in my ass to use would recommend staying clear since it only has day warranty ,negative
bought this in june it dead plus when in wireless mode frequently multiple times per day the mouse drops connection cheap product would rather have working product ,negative
it works great is fast ,positive
i love how cute this mouse is use it for work it goes into sleep mode pretty quickly but one click and you re back up and running charge it once week ,positive
when my year old wired mouse finally died started looking at replacement options have never liked wireless mice due to the constant need for batteries and finding some in the office or while traveling is always huge pain finding out that there are rechargeable options out there was game changer so far after about two weeks of use love feel of the mouse the pointer speed which is adjustable and well the fact that just plug it in to charge while the receiver is usb and comes with an adapter for usb the charging port on the mouse is micro usb the charging cable that comes with is usb to micro usb inches incase you want longer one like did one thing though do have small hands so the size is perfect someone with small to medium sized hands will like the feel and size of the mouse if you have large hands it may feel to small all in all liked it so much ordered nd one for my work laptop bag to replace the wired mouse that travel with ,positive
not worth it had this for only months and it broke it just stopped working could not scroll at all no matter what did not worth the money then after contacting amazon was charged dollar restocking fee for them and had to send it back on my own ,negative
the different colored lights stopped working after week and it only had red light after two months the mouse stopped working entirely sucks because it too late to return it,negative
great product,positive
i really like this mouse it is low profile and fits my small hands perfectly the only thing really don like about it is all the flashes of different color lights on it need to check to see if there is way to disable the light feature otherwise very nice mouse ,positive
won hold charge,positive
this mouse is wonderful to use for precise things such as line drawing and making flow charts it is super comfortable to use unfortunately bought this at the beginning of the year and now it will not charge so basically now have corded mouse which is what needed to avoid so until find highly rated cordless or battery operated one will be tied to the computer literally ,positive
the mouse worked well for day but nowhere cursor is non responsive checked to make sure it was fully charged did some troubleshooting and moved the usb to multiple ports on the laptop nothing worked guessing just received dud or maybe the mouse just isn compatible with my laptop ve used multiple wireless mouses with this laptop this is the first time ve ever had an issue make sure you try the mouse out right away after charging upon receiving it incase it doesn work and needs to be returned ,positive
the mouse worked for couple weeks but now the scroller just spins freeling and won scroll one through pages really disappointed because the mouse as whole worked pretty well for the last couple weeks hopefully just defective model will be returning the item and seeking replacement,positive
it was working well until it just stopped working after months it won charge and turn on anymore pretty much useless now not well made and it waste of money if you re looking for reliable and and an item that will last long do not get this one coz you will be disappointed tried my luck and didn listen to the reviews read now am so disappointed could have spend more to most reliable and long lasting one ,negative
i charged this mouse one time for an hour and it been going for month now on that one charge the clicks are silent love this comfortable mouse edit loved it until the scroll wheel stopped working ,positive
i tried to give this mouse some time tried it on different surfaces in all cases it skipped around and was very hard to work with unfortunately because of vacation and because tried to make it work missed the return window by one day that just frustrates me even more ,negative
was decent first month very flat so not ergonomic but that personal taste issue is this is already broken the scroll wheel no longer works even for mouse that pretty pathetic since ve had other mouses for years at time had the same issue as other reviews with the cursor randomly jumping too so there might be some design issue with the sensor ,negative
this mouse was purchased for year old girl she loves the colors the fit and the fact that it works without making noise ,positive
i am very happy with this mouse the colors are interesting and the fact that don have to buy batteries is an added plus ,positive
perfect,positive
i hate this product,negative
bought this on prime day and it does not disappoint the silent click and long charge life is great love the sleep mode and the slim feel will be buying another one ,positive
after two days of using the mouse went dead and would not work again no matter how long charged it ,negative
i gotten mouse mouse pad combo at tj maxx but there was no usb to connect it to my laptop so ordered this online it was good price and shipped quickly and am so glad ordered it it way cooler than the other one bought and feels like it made better it lights up there an on off and sleep mode to preserve battery also works so seamlessly and smooth great product thanks ,positive
works great,positive
i really loved this mouse did not replace it with the same mouse however because the wheel broke only use this device for work not gamer or anything like that ve had wireless mice that do not break for years previously great color very cool looking will miss using this not sure if there is any warranty,positive
i liked everything about this mouse was working great the couple of times week that used it then one day the scroll wheel stopped working completely no it not dirty there is no resistance it feels like it is free wheeling in there no explanation past return period ,positive
might work for low use we shall see and ll update this review after week or so of use update received aug mouse died sep rip,negative
cute mouse just love how it lights up with the different colors ,positive
it is quite nice it has an interesting style and the colored lights give it special touch unfortunately in terms of performance is lousy the sleep mode seems to fail constantly sometimes it turns off for no reason and stops working for while being fully charged so it must be damaged internally very disappointed with this product no matter how nice it is it is not worth buying if it does not fulfill its main function ,negative
love how amazon is fast and product is great,positive
it honestly awful it won charge and ve tried four different chargers ,positive
